DayOrder,Season,DayOfWeek,Period
2,1,4,1
2,1,4,2
2,1,4,3
2,1,4,4
3,1,5,1
3,1,5,2
3,1,5,3
3,1,5,4
4,1,6,1
4,1,6,2
4,1,6,3
4,1,6,4
6,1,1,1
6,1,1,2
6,1,1,3
6,1,1,4
7,1,2,1
7,1,2,2
7,1,2,3
7,1,2,4
8,1,3,1
8,1,3,2
8,1,3,3
8,1,3,4
9,1,4,1
9,1,4,2
9,1,4,3
9,1,4,4
10,1,5,1
10,1,5,2
10,1,5,3
10,1,5,4
11,1,6,1
11,1,6,2
11,1,6,3
11,1,6,4
13,1,1,1
13,1,1,2
13,1,1,3
13,1,1,4
14,1,2,1
14,1,2,2
14,1,2,3
14,1,2,4
15,1,3,1
15,1,3,2
15,1,3,3
15,1,3,4
16,1,4,1
16,1,4,2
16,1,4,3
16,1,4,4
17,1,5,1
17,1,5,2
17,1,5,3
17,1,5,4
18,1,6,1
18,1,6,2
18,1,6,3
18,1,6,4
20,1,1,1
20,1,1,2
20,1,1,3
20,1,1,4
21,1,2,1
21,1,2,2
21,1,2,3
21,1,2,4
22,1,3,1
22,1,3,2
22,1,3,3
22,1,3,4
23,1,4,1
23,1,4,2
23,1,4,3
23,1,4,4
24,1,5,1
24,1,5,2
24,1,5,3
24,1,5,4
25,1,6,1
25,1,6,2
25,1,6,3
25,1,6,4
27,1,1,1
27,1,1,2
27,1,1,3
27,1,1,4
28,1,2,1
28,1,2,2
28,1,2,3
28,1,2,4
29,1,3,1
29,1,3,2
29,1,3,3
29,1,3,4
30,1,4,1
30,1,4,2
30,1,4,3
30,1,4,4
31,1,5,1
31,1,5,2
31,1,5,3
31,1,5,4
32,1,6,1
32,1,6,2
32,1,6,3
32,1,6,4
34,1,1,1
34,1,1,2
34,1,1,3
34,1,1,4
35,1,2,1
35,1,2,2
35,1,2,3
35,1,2,4
36,1,3,1
36,1,3,2
36,1,3,3
36,1,3,4
37,1,4,1
37,1,4,2
37,1,4,3
37,1,4,4
38,1,5,1
38,1,5,2
38,1,5,3
38,1,5,4
39,1,6,1
39,1,6,2
39,1,6,3
39,1,6,4
41,1,1,1
41,1,1,2
41,1,1,3
41,1,1,4
42,1,2,1
42,1,2,2
42,1,2,3
42,1,2,4
43,1,3,1
43,1,3,2
43,1,3,3
43,1,3,4
44,1,4,1
44,1,4,2
44,1,4,3
44,1,4,4
45,1,5,1
45,1,5,2
45,1,5,3
45,1,5,4
46,1,6,1
46,1,6,2
46,1,6,3
46,1,6,4
48,1,1,1
48,1,1,2
48,1,1,3
48,1,1,4
49,1,2,1
49,1,2,2
49,1,2,3
49,1,2,4
50,1,3,1
50,1,3,2
50,1,3,3
50,1,3,4
51,1,4,1
51,1,4,2
51,1,4,3
51,1,4,4
52,1,5,1
52,1,5,2
52,1,5,3
52,1,5,4
53,1,6,1
53,1,6,2
53,1,6,3
53,1,6,4
55,1,1,1
55,1,1,2
55,1,1,3
55,1,1,4
56,1,2,1
56,1,2,2
56,1,2,3
56,1,2,4
57,1,3,1
57,1,3,2
57,1,3,3
57,1,3,4
58,1,4,1
58,1,4,2
58,1,4,3
58,1,4,4
59,1,5,1
59,1,5,2
59,1,5,3
59,1,5,4
60,1,6,1
60,1,6,2
60,1,6,3
60,1,6,4
62,1,1,1
62,1,1,2
62,1,1,3
62,1,1,4
63,1,2,1
63,1,2,2
63,1,2,3
63,1,2,4
64,1,3,1
64,1,3,2
64,1,3,3
64,1,3,4
65,1,4,1
65,1,4,2
65,1,4,3
65,1,4,4
66,1,5,1
66,1,5,2
66,1,5,3
66,1,5,4
67,1,6,1
67,1,6,2
67,1,6,3
67,1,6,4
69,1,1,1
69,1,1,2
69,1,1,3
69,1,1,4
70,1,2,1
70,1,2,2
70,1,2,3
